Probability of fire spreading, Average percent burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000072 , 2.028800
0.020000 , 0.000184 , 2.073600
0.030000 , 0.000305 , 2.118400
0.040000 , 0.000585 , 2.214400
0.050000 , 0.000602 , 2.233600
0.060000 , 0.000826 , 2.291200
0.070000 , 0.001151 , 2.401600
0.080000 , 0.000994 , 2.364800
0.090000 , 0.001059 , 2.374400
0.100000 , 0.001251 , 2.441600
0.110000 , 0.001512 , 2.529600
0.120000 , 0.001941 , 2.638400
0.130000 , 0.002113 , 2.715200
0.140000 , 0.002346 , 2.760000
0.150000 , 0.002863 , 2.902400
0.160000 , 0.003064 , 2.972800
0.170000 , 0.003649 , 3.107200
0.180000 , 0.004094 , 3.256000
0.190000 , 0.004042 , 3.177600
0.200000 , 0.004138 , 3.224000
0.210000 , 0.005237 , 3.488000
0.220000 , 0.005774 , 3.548800
0.230000 , 0.006031 , 3.646400
0.240000 , 0.006829 , 3.793600
0.250000 , 0.009359 , 4.323200
0.260000 , 0.008618 , 4.260800
0.270000 , 0.010747 , 4.544000
0.280000 , 0.012287 , 4.974400
0.290000 , 0.013879 , 5.070400
0.300000 , 0.013758 , 5.075200
0.310000 , 0.017147 , 5.446400
0.320000 , 0.020223 , 6.075200
0.330000 , 0.020968 , 6.238400
0.340000 , 0.030268 , 7.846400
0.350000 , 0.028776 , 7.302400
0.360000 , 0.038067 , 8.187200
0.370000 , 0.041079 , 8.444800
0.380000 , 0.040461 , 8.472000
0.390000 , 0.056710 , 9.985600
0.400000 , 0.073496 , 12.097600
0.410000 , 0.082462 , 12.526400
0.420000 , 0.092371 , 13.137600
0.430000 , 0.121528 , 15.278400
0.440000 , 0.132251 , 15.846400
0.450000 , 0.167575 , 18.504000
0.460000 , 0.179621 , 18.563200
0.470000 , 0.239563 , 21.934400
0.480000 , 0.294051 , 24.158400
0.490000 , 0.344241 , 25.547200
0.500000 , 0.380295 , 27.120000
0.510000 , 0.423555 , 27.675200
0.520000 , 0.498643 , 30.628800
0.530000 , 0.532018 , 30.030400
0.540000 , 0.545127 , 29.376000
0.550000 , 0.656136 , 32.633600
0.560000 , 0.689760 , 32.568000
0.570000 , 0.751342 , 32.488000
0.580000 , 0.767844 , 31.099200
0.590000 , 0.788479 , 29.624000
0.600000 , 0.835894 , 30.350400
0.610000 , 0.842943 , 28.939200
0.620000 , 0.892988 , 29.057600
0.630000 , 0.910621 , 28.897600
0.640000 , 0.914326 , 27.534400
0.650000 , 0.903739 , 26.212800
0.660000 , 0.928313 , 25.932800
0.670000 , 0.938895 , 25.352000
0.680000 , 0.957373 , 25.228800
0.690000 , 0.961163 , 24.776000
0.700000 , 0.962667 , 24.292800
0.710000 , 0.968000 , 24.139200
0.720000 , 0.982564 , 23.958400
0.730000 , 0.978129 , 23.374400
0.740000 , 0.975595 , 23.222400
0.750000 , 0.978839 , 22.921600
0.760000 , 0.990143 , 22.881600
0.770000 , 0.992000 , 23.036800
0.780000 , 0.989726 , 22.561600
0.790000 , 0.994466 , 22.592000
0.800000 , 0.992333 , 22.504000
0.810000 , 0.996383 , 22.416000
0.820000 , 0.996704 , 22.382400
0.830000 , 0.996736 , 22.256000
0.840000 , 0.997883 , 22.276800
0.850000 , 0.998240 , 22.233600
0.860000 , 0.998745 , 22.219200
0.870000 , 0.998733 , 22.128000
0.880000 , 0.999118 , 22.118400
0.890000 , 0.999407 , 22.057600
0.900000 , 0.999483 , 22.089600
0.910000 , 0.996487 , 21.980800
0.920000 , 0.999767 , 22.028800
0.930000 , 0.999808 , 22.016000
0.940000 , 0.999928 , 22.032000
0.950000 , 0.999984 , 22.028800
0.960000 , 0.999968 , 22.019200
0.970000 , 0.999984 , 22.028800
0.980000 , 0.999984 , 22.000000
0.990000 , 0.999984 , 22.000000
1.000000 , 1.000000 , 22.000000
Total time: 0.187597
